datetime,values
2025-05-13T22:00:00Z+0000,101.2
2025-05-13T22:10:00Z+0000,99.9
2025-05-13T22:20:00Z+0000,101.6
2025-05-13T22:30:00Z+0000,101.6
2025-05-13T22:40:00Z+0000,101.6
2025-05-13T22:50:00Z+0000,101.6
2025-05-13T23:00:00Z+0000,101.2
2025-05-13T23:10:00Z+0000,100.5
2025-05-13T23:20:00Z+0000,97.3
2025-05-13T23:30:00Z+0000,94.1
2025-05-13T23:40:00Z+0000,93.2
2025-05-13T23:50:00Z+0000,93.0
2025-05-14T00:00:00Z+0000,94.5
2025-05-14T00:10:00Z+0000,96.8
2025-05-14T00:20:00Z+0000,96.3
2025-05-14T00:30:00Z+0000,96.6
2025-05-14T00:40:00Z+0000,98.1
2025-05-14T00:50:00Z+0000,93.8
2025-05-14T01:00:00Z+0000,87.3
2025-05-14T01:10:00Z+0000,92.2
2025-05-14T01:20:00Z+0000,89.2
2025-05-14T01:30:00Z+0000,91.0
2025-05-14T01:40:00Z+0000,90.0
2025-05-14T01:50:00Z+0000,89.0
2025-05-14T02:00:00Z+0000,98.9
2025-05-14T02:10:00Z+0000,101.6
2025-05-14T02:20:00Z+0000,101.6
2025-05-14T02:30:00Z+0000,101.6
2025-05-14T02:40:00Z+0000,101.4
2025-05-14T02:50:00Z+0000,101.1
2025-05-14T03:00:00Z+0000,100.4
2025-05-14T03:10:00Z+0000,99.3
2025-05-14T03:20:00Z+0000,98.8
2025-05-14T03:30:00Z+0000,97.5
2025-05-14T03:40:00Z+0000,96.6
2025-05-14T03:50:00Z+0000,96.7
2025-05-14T04:00:00Z+0000,93.7
2025-05-14T04:10:00Z+0000,91.7
2025-05-14T04:20:00Z+0000,91.8
2025-05-14T04:30:00Z+0000,90.1
2025-05-14T04:40:00Z+0000,88.8
2025-05-14T04:50:00Z+0000,90.4
2025-05-14T05:00:00Z+0000,83.8
2025-05-14T05:10:00Z+0000,83.5
2025-05-14T05:20:00Z+0000,82.6
2025-05-14T05:30:00Z+0000,81.8
2025-05-14T05:40:00Z+0000,80.5
2025-05-14T05:50:00Z+0000,81.8
2025-05-14T06:00:00Z+0000,81.9
2025-05-14T06:10:00Z+0000,85.2
2025-05-14T06:20:00Z+0000,88.3
2025-05-14T06:30:00Z+0000,89.4
2025-05-14T06:40:00Z+0000,89.3
2025-05-14T06:50:00Z+0000,89.3
2025-05-14T07:00:00Z+0000,89.3
2025-05-14T07:10:00Z+0000,88.1
2025-05-14T07:20:00Z+0000,89.6
2025-05-14T07:30:00Z+0000,92.4
2025-05-14T07:40:00Z+0000,89.8
2025-05-14T07:50:00Z+0000,93.1
2025-05-14T08:00:00Z+0000,92.3
2025-05-14T08:10:00Z+0000,92.0
2025-05-14T08:20:00Z+0000,87.9
2025-05-14T08:30:00Z+0000,87.9
2025-05-14T08:40:00Z+0000,89.9
2025-05-14T08:50:00Z+0000,85.9
2025-05-14T09:00:00Z+0000,87.9
2025-05-14T09:10:00Z+0000,87.9
2025-05-14T09:20:00Z+0000,88.3
2025-05-14T09:30:00Z+0000,83.8
2025-05-14T09:40:00Z+0000,86.9
2025-05-14T09:50:00Z+0000,85.2
