datetime,values
2025-05-14T19:10:00Z+0000,75.5
2025-05-14T19:20:00Z+0000,74.4
2025-05-14T19:30:00Z+0000,76.0
2025-05-14T19:40:00Z+0000,83.3
2025-05-14T19:50:00Z+0000,76.9
2025-05-14T20:00:00Z+0000,83.7
2025-05-14T20:10:00Z+0000,82.5
2025-05-14T20:20:00Z+0000,71.7
2025-05-14T20:30:00Z+0000,69.0
2025-05-14T20:40:00Z+0000,78.4
2025-05-14T20:50:00Z+0000,79.0
2025-05-14T21:00:00Z+0000,69.9
2025-05-14T21:10:00Z+0000,70.8
2025-05-14T21:20:00Z+0000,70.3
2025-05-14T21:30:00Z+0000,68.4
2025-05-14T21:40:00Z+0000,67.6
2025-05-14T21:50:00Z+0000,67.7
2025-05-14T22:00:00Z+0000,77.7
2025-05-14T22:10:00Z+0000,79.0
2025-05-14T22:20:00Z+0000,81.4
2025-05-14T22:30:00Z+0000,76.9
2025-05-14T22:40:00Z+0000,74.0
2025-05-14T22:50:00Z+0000,75.3
2025-05-14T23:00:00Z+0000,78.2
2025-05-14T23:10:00Z+0000,78.9
2025-05-14T23:20:00Z+0000,78.4
2025-05-14T23:30:00Z+0000,79.1
2025-05-14T23:40:00Z+0000,85.2
2025-05-14T23:50:00Z+0000,85.0
2025-05-15T00:00:00Z+0000,82.4
2025-05-15T00:10:00Z+0000,86.3
2025-05-15T00:20:00Z+0000,82.2
2025-05-15T00:30:00Z+0000,76.9
2025-05-15T00:40:00Z+0000,78.2
2025-05-15T00:50:00Z+0000,76.9
2025-05-15T01:00:00Z+0000,75.9
2025-05-15T01:10:00Z+0000,77.1
2025-05-15T01:20:00Z+0000,77.8
2025-05-15T01:30:00Z+0000,77.8
2025-05-15T01:40:00Z+0000,73.3
2025-05-15T01:50:00Z+0000,67.0
2025-05-15T02:00:00Z+0000,64.2
2025-05-15T02:10:00Z+0000,70.1
2025-05-15T02:20:00Z+0000,70.5
2025-05-15T02:30:00Z+0000,64.0
2025-05-15T02:40:00Z+0000,62.8
2025-05-15T02:50:00Z+0000,62.0
2025-05-15T03:00:00Z+0000,58.2
2025-05-15T03:10:00Z+0000,61.0
