datetime,values
2025-05-13T22:00:00Z+0000,99.8
2025-05-13T22:10:00Z+0000,99.9
2025-05-13T22:20:00Z+0000,100.2
2025-05-13T22:30:00Z+0000,100.1
2025-05-13T22:40:00Z+0000,100.1
2025-05-13T22:50:00Z+0000,100.1
2025-05-13T23:00:00Z+0000,100.1
2025-05-13T23:10:00Z+0000,100.1
2025-05-13T23:20:00Z+0000,100.2
2025-05-13T23:30:00Z+0000,100.1
2025-05-13T23:40:00Z+0000,100.1
2025-05-13T23:50:00Z+0000,95.0
2025-05-14T00:00:00Z+0000,94.3
2025-05-14T00:10:00Z+0000,89.1
2025-05-14T00:20:00Z+0000,86.1
2025-05-14T00:30:00Z+0000,84.6
2025-05-14T00:40:00Z+0000,84.0
2025-05-14T00:50:00Z+0000,97.0
2025-05-14T01:00:00Z+0000,98.5
2025-05-14T01:10:00Z+0000,99.5
2025-05-14T01:20:00Z+0000,99.8
2025-05-14T01:30:00Z+0000,100.1
2025-05-14T01:40:00Z+0000,100.0
2025-05-14T01:50:00Z+0000,100.1
2025-05-14T02:00:00Z+0000,100.1
2025-05-14T02:10:00Z+0000,100.2
2025-05-14T02:20:00Z+0000,100.1
2025-05-14T02:30:00Z+0000,100.1
2025-05-14T02:40:00Z+0000,100.1
2025-05-14T02:50:00Z+0000,100.1
2025-05-14T03:00:00Z+0000,100.1
2025-05-14T03:10:00Z+0000,100.0
2025-05-14T03:20:00Z+0000,100.1
2025-05-14T03:30:00Z+0000,100.2
2025-05-14T03:40:00Z+0000,100.1
2025-05-14T03:50:00Z+0000,100.1
2025-05-14T04:00:00Z+0000,100.1
2025-05-14T04:10:00Z+0000,99.5
2025-05-14T04:20:00Z+0000,99.5
2025-05-14T04:30:00Z+0000,99.1
2025-05-14T04:40:00Z+0000,98.5
2025-05-14T04:50:00Z+0000,98.3
2025-05-14T05:00:00Z+0000,96.9
2025-05-14T05:10:00Z+0000,95.8
2025-05-14T05:20:00Z+0000,95.3
2025-05-14T05:30:00Z+0000,94.2
2025-05-14T05:40:00Z+0000,93.2
2025-05-14T05:50:00Z+0000,93.0
2025-05-14T06:00:00Z+0000,92.1
2025-05-14T06:10:00Z+0000,90.4
2025-05-14T06:20:00Z+0000,89.4
2025-05-14T06:30:00Z+0000,86.0
2025-05-14T06:40:00Z+0000,83.0
2025-05-14T06:50:00Z+0000,79.8
2025-05-14T07:00:00Z+0000,79.4
2025-05-14T07:10:00Z+0000,75.0
2025-05-14T07:20:00Z+0000,79.8
2025-05-14T07:30:00Z+0000,72.5
2025-05-14T07:40:00Z+0000,75.5
2025-05-14T07:50:00Z+0000,75.9
2025-05-14T08:00:00Z+0000,75.7
2025-05-14T08:10:00Z+0000,86.9
2025-05-14T08:20:00Z+0000,79.5
2025-05-14T08:30:00Z+0000,90.0
2025-05-14T08:40:00Z+0000,87.2
2025-05-14T08:50:00Z+0000,83.3
2025-05-14T09:00:00Z+0000,74.5
2025-05-14T09:10:00Z+0000,75.7
2025-05-14T09:20:00Z+0000,75.2
2025-05-14T09:30:00Z+0000,75.8
2025-05-14T09:40:00Z+0000,71.1
2025-05-14T09:50:00Z+0000,70.2
2025-05-14T10:00:00Z+0000,72.8
2025-05-14T10:10:00Z+0000,73.5
2025-05-14T10:20:00Z+0000,63.9
2025-05-14T10:30:00Z+0000,69.8
2025-05-14T10:40:00Z+0000,67.5
2025-05-14T10:50:00Z+0000,66.3
2025-05-14T11:00:00Z+0000,64.8
2025-05-14T11:10:00Z+0000,64.8
2025-05-14T11:20:00Z+0000,68.9
2025-05-14T11:30:00Z+0000,71.1
2025-05-14T11:40:00Z+0000,75.1
2025-05-14T11:50:00Z+0000,75.9
2025-05-14T12:00:00Z+0000,69.4
2025-05-14T12:10:00Z+0000,69.1
2025-05-14T12:20:00Z+0000,66.7
2025-05-14T12:30:00Z+0000,70.5
2025-05-14T12:40:00Z+0000,66.6
2025-05-14T12:50:00Z+0000,67.9
2025-05-14T13:00:00Z+0000,65.8
2025-05-14T13:10:00Z+0000,67.1
2025-05-14T13:20:00Z+0000,65.5
2025-05-14T13:30:00Z+0000,64.4
2025-05-14T13:40:00Z+0000,64.6
2025-05-14T13:50:00Z+0000,68.9
2025-05-14T14:00:00Z+0000,62.4
2025-05-14T14:10:00Z+0000,60.9
2025-05-14T14:20:00Z+0000,66.6
2025-05-14T14:30:00Z+0000,67.7
2025-05-14T14:40:00Z+0000,68.6
2025-05-14T14:50:00Z+0000,69.7
2025-05-14T15:00:00Z+0000,69.4
2025-05-14T15:10:00Z+0000,63.9
2025-05-14T15:20:00Z+0000,70.4
2025-05-14T15:30:00Z+0000,73.3
2025-05-14T15:40:00Z+0000,73.0
2025-05-14T15:50:00Z+0000,70.3
2025-05-14T16:00:00Z+0000,73.5
2025-05-14T16:10:00Z+0000,74.4
2025-05-14T16:20:00Z+0000,72.6
2025-05-14T16:30:00Z+0000,71.3
2025-05-14T16:40:00Z+0000,80.0
2025-05-14T16:50:00Z+0000,82.4
2025-05-14T17:00:00Z+0000,82.1
2025-05-14T17:10:00Z+0000,83.6
2025-05-14T17:20:00Z+0000,82.1
2025-05-14T17:30:00Z+0000,84.6
2025-05-14T17:40:00Z+0000,82.5
2025-05-14T17:50:00Z+0000,80.8
