datetime,values
2025-05-13T22:00:00Z+0000,100.0
2025-05-13T22:10:00Z+0000,100.0
2025-05-13T22:20:00Z+0000,100.0
2025-05-13T22:30:00Z+0000,97.9
2025-05-13T22:40:00Z+0000,98.9
2025-05-13T22:50:00Z+0000,99.6
2025-05-13T23:00:00Z+0000,96.8
2025-05-13T23:10:00Z+0000,87.3
2025-05-13T23:20:00Z+0000,84.6
2025-05-13T23:30:00Z+0000,82.7
2025-05-13T23:40:00Z+0000,98.2
2025-05-13T23:50:00Z+0000,99.4
2025-05-14T00:00:00Z+0000,99.7
2025-05-14T00:10:00Z+0000,99.8
2025-05-14T00:20:00Z+0000,99.9
2025-05-14T00:30:00Z+0000,99.7
2025-05-14T00:40:00Z+0000,99.5
2025-05-14T00:50:00Z+0000,99.4
2025-05-14T01:00:00Z+0000,99.4
2025-05-14T01:10:00Z+0000,98.7
2025-05-14T01:20:00Z+0000,97.5
2025-05-14T01:30:00Z+0000,97.8
2025-05-14T01:40:00Z+0000,96.3
2025-05-14T01:50:00Z+0000,95.3
2025-05-14T02:00:00Z+0000,95.8
2025-05-14T02:10:00Z+0000,92.4
2025-05-14T02:20:00Z+0000,90.2
2025-05-14T02:30:00Z+0000,88.6
2025-05-14T02:40:00Z+0000,86.3
2025-05-14T02:50:00Z+0000,93.9
2025-05-14T03:00:00Z+0000,98.9
2025-05-14T03:10:00Z+0000,98.4
2025-05-14T03:20:00Z+0000,93.3
2025-05-14T03:30:00Z+0000,92.3
2025-05-14T03:40:00Z+0000,93.8
2025-05-14T03:50:00Z+0000,95.7
2025-05-14T04:00:00Z+0000,98.5
2025-05-14T04:10:00Z+0000,99.2
2025-05-14T04:20:00Z+0000,98.6
2025-05-14T04:30:00Z+0000,97.9
2025-05-14T04:40:00Z+0000,96.8
2025-05-14T04:50:00Z+0000,97.6
2025-05-14T05:00:00Z+0000,98.4
2025-05-14T05:10:00Z+0000,97.7
2025-05-14T05:20:00Z+0000,97.4
2025-05-14T05:30:00Z+0000,95.8
2025-05-14T05:40:00Z+0000,95.6
2025-05-14T05:50:00Z+0000,93.1
2025-05-14T06:00:00Z+0000,94.8
2025-05-14T06:10:00Z+0000,93.4
2025-05-14T06:20:00Z+0000,88.5
2025-05-14T06:30:00Z+0000,85.4
2025-05-14T06:40:00Z+0000,83.3
2025-05-14T06:50:00Z+0000,85.6
2025-05-14T07:00:00Z+0000,82.7
2025-05-14T07:10:00Z+0000,83.4
2025-05-14T07:20:00Z+0000,81.0
2025-05-14T07:30:00Z+0000,78.7
2025-05-14T07:40:00Z+0000,73.6
2025-05-14T07:50:00Z+0000,75.2
2025-05-14T08:00:00Z+0000,66.9
2025-05-14T08:10:00Z+0000,58.7
2025-05-14T08:20:00Z+0000,67.9
2025-05-14T08:30:00Z+0000,77.7
2025-05-14T08:40:00Z+0000,77.9
2025-05-14T08:50:00Z+0000,70.0
2025-05-14T09:00:00Z+0000,66.7
2025-05-14T09:10:00Z+0000,70.7
2025-05-14T09:20:00Z+0000,74.1
2025-05-14T09:30:00Z+0000,66.4
2025-05-14T09:40:00Z+0000,66.9
2025-05-14T09:50:00Z+0000,60.8
2025-05-14T10:00:00Z+0000,46.9
2025-05-14T10:10:00Z+0000,51.7
2025-05-14T10:20:00Z+0000,69.4
2025-05-14T10:30:00Z+0000,67.9
2025-05-14T10:40:00Z+0000,64.0
2025-05-14T10:50:00Z+0000,58.0
2025-05-14T11:00:00Z+0000,66.0
2025-05-14T11:10:00Z+0000,68.8
2025-05-14T11:20:00Z+0000,64.6
2025-05-14T11:30:00Z+0000,63.9
2025-05-14T11:40:00Z+0000,61.3
2025-05-14T11:50:00Z+0000,60.1
2025-05-14T12:00:00Z+0000,59.9
2025-05-14T12:10:00Z+0000,60.3
2025-05-14T12:20:00Z+0000,58.1
2025-05-14T12:30:00Z+0000,55.9
2025-05-14T12:40:00Z+0000,54.3
2025-05-14T12:50:00Z+0000,54.0
2025-05-14T13:00:00Z+0000,55.0
2025-05-14T13:10:00Z+0000,58.1
2025-05-14T13:20:00Z+0000,59.1
2025-05-14T13:30:00Z+0000,59.1
2025-05-14T13:40:00Z+0000,62.4
2025-05-14T13:50:00Z+0000,62.5
2025-05-14T14:00:00Z+0000,59.3
2025-05-14T14:10:00Z+0000,58.8
2025-05-14T14:20:00Z+0000,62.0
2025-05-14T14:30:00Z+0000,64.2
2025-05-14T14:40:00Z+0000,66.4
2025-05-14T14:50:00Z+0000,70.7
2025-05-14T15:00:00Z+0000,67.9
2025-05-14T15:10:00Z+0000,70.9
2025-05-14T15:20:00Z+0000,72.4
2025-05-14T15:30:00Z+0000,72.6
2025-05-14T15:40:00Z+0000,70.7
2025-05-14T15:50:00Z+0000,74.0
2025-05-14T16:00:00Z+0000,76.9
