datetime,values
2025-05-13T22:00:00Z+0000,100.4
2025-05-13T22:10:00Z+0000,100.4
2025-05-13T22:20:00Z+0000,100.4
2025-05-13T22:30:00Z+0000,100.4
2025-05-13T22:40:00Z+0000,100.4
2025-05-13T22:50:00Z+0000,100.4
2025-05-13T23:00:00Z+0000,100.4
2025-05-13T23:10:00Z+0000,100.4
2025-05-13T23:20:00Z+0000,100.4
2025-05-13T23:30:00Z+0000,100.4
2025-05-13T23:40:00Z+0000,100.4
2025-05-13T23:50:00Z+0000,100.4
2025-05-14T00:00:00Z+0000,100.4
2025-05-14T00:10:00Z+0000,100.4
2025-05-14T00:20:00Z+0000,100.4
2025-05-14T00:30:00Z+0000,100.4
2025-05-14T00:40:00Z+0000,100.4
2025-05-14T00:50:00Z+0000,100.4
2025-05-14T01:00:00Z+0000,100.4
2025-05-14T01:10:00Z+0000,100.4
2025-05-14T01:20:00Z+0000,100.4
2025-05-14T01:30:00Z+0000,100.4
2025-05-14T01:40:00Z+0000,100.4
2025-05-14T01:50:00Z+0000,100.4
2025-05-14T02:00:00Z+0000,100.4
2025-05-14T02:10:00Z+0000,100.4
2025-05-14T02:20:00Z+0000,100.4
2025-05-14T02:30:00Z+0000,100.4
2025-05-14T02:40:00Z+0000,100.4
2025-05-14T02:50:00Z+0000,100.4
2025-05-14T03:00:00Z+0000,100.4
2025-05-14T03:10:00Z+0000,100.4
2025-05-14T03:20:00Z+0000,100.4
2025-05-14T03:30:00Z+0000,100.4
2025-05-14T03:40:00Z+0000,100.4
2025-05-14T03:50:00Z+0000,100.4
2025-05-14T04:00:00Z+0000,100.4
2025-05-14T04:10:00Z+0000,100.4
2025-05-14T04:20:00Z+0000,100.4
2025-05-14T04:30:00Z+0000,100.4
2025-05-14T04:40:00Z+0000,100.4
2025-05-14T04:50:00Z+0000,100.4
2025-05-14T05:00:00Z+0000,100.4
2025-05-14T05:10:00Z+0000,100.4
2025-05-14T05:20:00Z+0000,100.4
2025-05-14T05:30:00Z+0000,100.4
2025-05-14T05:40:00Z+0000,100.4
2025-05-14T05:50:00Z+0000,100.4
2025-05-14T06:00:00Z+0000,100.4
2025-05-14T06:10:00Z+0000,100.4
2025-05-14T06:20:00Z+0000,100.4
2025-05-14T06:30:00Z+0000,100.4
2025-05-14T06:40:00Z+0000,100.4
2025-05-14T06:50:00Z+0000,100.4
2025-05-14T07:00:00Z+0000,100.4
2025-05-14T07:10:00Z+0000,100.4
2025-05-14T07:20:00Z+0000,100.4
2025-05-14T07:30:00Z+0000,100.4
2025-05-14T07:40:00Z+0000,100.4
2025-05-14T07:50:00Z+0000,100.4
2025-05-14T08:00:00Z+0000,100.4
2025-05-14T08:10:00Z+0000,100.4
