datetime,values
2025-05-13T22:00:00Z+0000,72.2
2025-05-13T22:10:00Z+0000,72.3
2025-05-13T22:20:00Z+0000,71.8
2025-05-13T22:30:00Z+0000,72.4
2025-05-13T22:40:00Z+0000,72.0
2025-05-13T22:50:00Z+0000,70.6
2025-05-13T23:00:00Z+0000,72.6
2025-05-13T23:10:00Z+0000,75.2
2025-05-13T23:20:00Z+0000,78.3
2025-05-13T23:30:00Z+0000,80.1
2025-05-13T23:40:00Z+0000,80.8
2025-05-13T23:50:00Z+0000,77.9
2025-05-14T00:00:00Z+0000,75.2
2025-05-14T00:10:00Z+0000,75.7
2025-05-14T00:20:00Z+0000,75.7
2025-05-14T00:30:00Z+0000,83.2
2025-05-14T00:40:00Z+0000,79.7
2025-05-14T00:50:00Z+0000,77.8
2025-05-14T01:00:00Z+0000,79.5
2025-05-14T01:10:00Z+0000,79.7
2025-05-14T01:20:00Z+0000,87.8
2025-05-14T01:30:00Z+0000,92.3
2025-05-14T01:40:00Z+0000,91.7
2025-05-14T01:50:00Z+0000,86.5
2025-05-14T02:00:00Z+0000,88.2
2025-05-14T02:10:00Z+0000,86.4
2025-05-14T02:20:00Z+0000,86.0
2025-05-14T02:30:00Z+0000,85.9
2025-05-14T02:40:00Z+0000,86.8
2025-05-14T02:50:00Z+0000,87.0
2025-05-14T03:00:00Z+0000,88.0
2025-05-14T03:10:00Z+0000,92.2
2025-05-14T03:20:00Z+0000,91.5
2025-05-14T03:30:00Z+0000,88.7
2025-05-14T03:40:00Z+0000,88.9
2025-05-14T03:50:00Z+0000,87.7
2025-05-14T04:00:00Z+0000,91.2
2025-05-14T04:10:00Z+0000,92.6
2025-05-14T04:20:00Z+0000,89.5
2025-05-14T04:30:00Z+0000,86.4
2025-05-14T04:40:00Z+0000,84.8
2025-05-14T04:50:00Z+0000,84.9
2025-05-14T05:00:00Z+0000,84.6
2025-05-14T05:10:00Z+0000,81.7
2025-05-14T05:20:00Z+0000,82.0
2025-05-14T05:30:00Z+0000,83.6
2025-05-14T05:40:00Z+0000,84.0
2025-05-14T05:50:00Z+0000,82.2
2025-05-14T06:00:00Z+0000,81.4
2025-05-14T06:10:00Z+0000,82.9
2025-05-14T06:20:00Z+0000,85.5
2025-05-14T06:30:00Z+0000,85.4
2025-05-14T06:40:00Z+0000,84.5
2025-05-14T06:50:00Z+0000,83.0
2025-05-14T07:00:00Z+0000,81.0
2025-05-14T07:10:00Z+0000,84.8
2025-05-14T07:20:00Z+0000,85.2
2025-05-14T07:30:00Z+0000,78.0
2025-05-14T07:40:00Z+0000,76.7
2025-05-14T07:50:00Z+0000,76.5
2025-05-14T08:00:00Z+0000,76.9
2025-05-14T08:10:00Z+0000,79.1
2025-05-14T08:20:00Z+0000,82.4
2025-05-14T08:30:00Z+0000,80.7
2025-05-14T08:40:00Z+0000,79.9
2025-05-14T08:50:00Z+0000,73.5
2025-05-14T09:00:00Z+0000,73.4
2025-05-14T09:10:00Z+0000,69.6
2025-05-14T09:20:00Z+0000,67.6
2025-05-14T09:30:00Z+0000,66.9
2025-05-14T09:40:00Z+0000,66.5
2025-05-14T09:50:00Z+0000,69.8
2025-05-14T10:00:00Z+0000,68.5
2025-05-14T10:10:00Z+0000,62.3
2025-05-14T10:20:00Z+0000,58.8
2025-05-14T10:30:00Z+0000,55.4
2025-05-14T10:40:00Z+0000,52.3
2025-05-14T10:50:00Z+0000,51.7
2025-05-14T11:00:00Z+0000,51.8
2025-05-14T11:10:00Z+0000,53.7
2025-05-14T11:20:00Z+0000,54.1
2025-05-14T11:30:00Z+0000,52.0
2025-05-14T11:40:00Z+0000,49.8
2025-05-14T11:50:00Z+0000,47.8
2025-05-14T12:00:00Z+0000,48.7
2025-05-14T12:10:00Z+0000,46.4
2025-05-14T12:20:00Z+0000,45.4
2025-05-14T12:30:00Z+0000,44.2
2025-05-14T12:40:00Z+0000,44.2
2025-05-14T12:50:00Z+0000,44.3
2025-05-14T13:00:00Z+0000,44.7
2025-05-14T13:10:00Z+0000,45.5
2025-05-14T13:20:00Z+0000,44.8
2025-05-14T13:30:00Z+0000,42.5
2025-05-14T13:40:00Z+0000,39.1
2025-05-14T13:50:00Z+0000,38.8
2025-05-14T14:00:00Z+0000,40.9
2025-05-14T14:10:00Z+0000,41.0
2025-05-14T14:20:00Z+0000,42.0
2025-05-14T14:30:00Z+0000,42.6
2025-05-14T14:40:00Z+0000,41.5
2025-05-14T14:50:00Z+0000,41.9
2025-05-14T15:00:00Z+0000,42.6
2025-05-14T15:10:00Z+0000,43.7
2025-05-14T15:20:00Z+0000,43.6
2025-05-14T15:30:00Z+0000,44.1
2025-05-14T15:40:00Z+0000,44.8
2025-05-14T15:50:00Z+0000,45.7
2025-05-14T16:00:00Z+0000,48.8
2025-05-14T16:10:00Z+0000,51.0
2025-05-14T16:20:00Z+0000,51.9
2025-05-14T16:30:00Z+0000,51.5
2025-05-14T16:40:00Z+0000,52.0
2025-05-14T16:50:00Z+0000,53.2
2025-05-14T17:00:00Z+0000,53.3
2025-05-14T17:10:00Z+0000,53.1
2025-05-14T17:20:00Z+0000,54.3
2025-05-14T17:30:00Z+0000,53.9
2025-05-14T17:40:00Z+0000,55.2
2025-05-14T17:50:00Z+0000,55.0
2025-05-14T18:00:00Z+0000,54.5
2025-05-14T18:10:00Z+0000,56.3
2025-05-14T18:20:00Z+0000,57.5
2025-05-14T18:30:00Z+0000,60.1
2025-05-14T18:40:00Z+0000,60.9
2025-05-14T18:50:00Z+0000,62.2
2025-05-14T19:00:00Z+0000,62.9
2025-05-14T19:10:00Z+0000,63.1
2025-05-14T19:20:00Z+0000,63.0
2025-05-14T19:30:00Z+0000,63.3
2025-05-14T19:40:00Z+0000,64.9
2025-05-14T19:50:00Z+0000,65.6
2025-05-14T20:00:00Z+0000,63.6
2025-05-14T20:10:00Z+0000,63.8
2025-05-14T20:20:00Z+0000,62.2
2025-05-14T20:30:00Z+0000,63.7
2025-05-14T20:40:00Z+0000,64.9
2025-05-14T20:50:00Z+0000,66.2
2025-05-14T21:00:00Z+0000,65.1
2025-05-14T21:10:00Z+0000,63.6
2025-05-14T21:20:00Z+0000,64.7
2025-05-14T21:30:00Z+0000,67.5
2025-05-14T21:40:00Z+0000,68.8
2025-05-14T21:50:00Z+0000,70.3
2025-05-14T22:00:00Z+0000,69.7
2025-05-14T22:10:00Z+0000,68.1
2025-05-14T22:20:00Z+0000,68.0
2025-05-14T22:30:00Z+0000,67.7
2025-05-14T22:40:00Z+0000,65.9
2025-05-14T22:50:00Z+0000,68.9
2025-05-14T23:00:00Z+0000,69.4
2025-05-14T23:10:00Z+0000,72.3
2025-05-14T23:20:00Z+0000,71.4
2025-05-14T23:30:00Z+0000,69.9
2025-05-14T23:40:00Z+0000,70.5
2025-05-14T23:50:00Z+0000,72.2
2025-05-15T00:00:00Z+0000,70.9
2025-05-15T00:10:00Z+0000,71.1
2025-05-15T00:20:00Z+0000,69.3
2025-05-15T00:30:00Z+0000,70.6
2025-05-15T00:40:00Z+0000,71.5
2025-05-15T00:50:00Z+0000,74.7
2025-05-15T01:00:00Z+0000,73.7
2025-05-15T01:10:00Z+0000,72.5
2025-05-15T01:20:00Z+0000,73.9
2025-05-15T01:30:00Z+0000,74.7
2025-05-15T01:40:00Z+0000,73.4
2025-05-15T01:50:00Z+0000,73.5
2025-05-15T02:00:00Z+0000,74.6
2025-05-15T02:10:00Z+0000,73.7
2025-05-15T02:20:00Z+0000,75.6
2025-05-15T02:30:00Z+0000,74.1
2025-05-15T02:40:00Z+0000,72.8
2025-05-15T02:50:00Z+0000,74.6
2025-05-15T03:00:00Z+0000,75.2
2025-05-15T03:10:00Z+0000,76.5
2025-05-15T03:20:00Z+0000,75.3
2025-05-15T03:30:00Z+0000,75.8
2025-05-15T03:40:00Z+0000,75.4
2025-05-15T03:50:00Z+0000,76.0
2025-05-15T04:00:00Z+0000,77.9
2025-05-15T04:10:00Z+0000,78.5
2025-05-15T04:20:00Z+0000,75.2
2025-05-15T04:30:00Z+0000,71.8
2025-05-15T04:40:00Z+0000,69.0
2025-05-15T04:50:00Z+0000,67.1
2025-05-15T05:00:00Z+0000,66.2
2025-05-15T05:10:00Z+0000,64.5
2025-05-15T05:20:00Z+0000,62.3
2025-05-15T05:30:00Z+0000,59.7
2025-05-15T05:40:00Z+0000,59.2
2025-05-15T05:50:00Z+0000,58.3
2025-05-15T06:00:00Z+0000,56.9
2025-05-15T06:10:00Z+0000,56.0
2025-05-15T06:20:00Z+0000,54.1
2025-05-15T06:30:00Z+0000,55.4
2025-05-15T06:40:00Z+0000,53.1
2025-05-15T06:50:00Z+0000,53.3
2025-05-15T07:00:00Z+0000,52.0
2025-05-15T07:10:00Z+0000,51.9
2025-05-15T07:20:00Z+0000,50.2
2025-05-15T07:30:00Z+0000,48.3
2025-05-15T07:40:00Z+0000,47.0
2025-05-15T07:50:00Z+0000,46.2
2025-05-15T08:00:00Z+0000,43.3
2025-05-15T08:10:00Z+0000,45.0
2025-05-15T08:20:00Z+0000,44.7
2025-05-15T08:30:00Z+0000,43.2
2025-05-15T08:40:00Z+0000,41.9
2025-05-15T08:50:00Z+0000,43.7
2025-05-15T09:00:00Z+0000,41.5
2025-05-15T09:10:00Z+0000,42.2
2025-05-15T09:20:00Z+0000,40.3
2025-05-15T09:30:00Z+0000,39.2
