datetime,values
2025-05-13T22:00:00Z+0000,97.7
2025-05-13T22:10:00Z+0000,93.9
2025-05-13T22:20:00Z+0000,93.7
2025-05-13T22:30:00Z+0000,95.0
2025-05-13T22:40:00Z+0000,96.1
2025-05-13T22:50:00Z+0000,95.4
2025-05-13T23:00:00Z+0000,95.2
2025-05-13T23:10:00Z+0000,95.6
2025-05-13T23:20:00Z+0000,95.8
2025-05-13T23:30:00Z+0000,94.4
2025-05-13T23:40:00Z+0000,95.9
2025-05-13T23:50:00Z+0000,96.0
2025-05-14T00:00:00Z+0000,95.6
2025-05-14T00:10:00Z+0000,97.0
2025-05-14T00:20:00Z+0000,99.2
2025-05-14T00:30:00Z+0000,100.6
2025-05-14T00:40:00Z+0000,101.0
2025-05-14T00:50:00Z+0000,100.8
2025-05-14T01:00:00Z+0000,100.9
2025-05-14T01:10:00Z+0000,100.7
2025-05-14T01:20:00Z+0000,99.8
2025-05-14T01:30:00Z+0000,99.6
2025-05-14T01:40:00Z+0000,99.2
2025-05-14T01:50:00Z+0000,97.4
2025-05-14T02:00:00Z+0000,97.5
2025-05-14T02:10:00Z+0000,98.0
2025-05-14T02:20:00Z+0000,97.8
2025-05-14T02:30:00Z+0000,98.5
2025-05-14T02:40:00Z+0000,98.5
2025-05-14T02:50:00Z+0000,98.7
2025-05-14T03:00:00Z+0000,99.8
2025-05-14T03:10:00Z+0000,100.7
2025-05-14T03:20:00Z+0000,100.9
2025-05-14T03:30:00Z+0000,101.0
2025-05-14T03:40:00Z+0000,100.9
2025-05-14T03:50:00Z+0000,101.0
2025-05-14T04:00:00Z+0000,100.9
2025-05-14T04:10:00Z+0000,101.0
2025-05-14T04:20:00Z+0000,100.9
2025-05-14T04:30:00Z+0000,98.3
2025-05-14T04:40:00Z+0000,96.0
2025-05-14T04:50:00Z+0000,94.7
2025-05-14T05:00:00Z+0000,95.1
2025-05-14T05:10:00Z+0000,96.6
2025-05-14T05:20:00Z+0000,95.3
2025-05-14T05:30:00Z+0000,94.5
2025-05-14T05:40:00Z+0000,99.3
2025-05-14T05:50:00Z+0000,100.3
2025-05-14T06:00:00Z+0000,100.9
2025-05-14T06:10:00Z+0000,100.9
2025-05-14T06:20:00Z+0000,100.8
2025-05-14T06:30:00Z+0000,100.9
2025-05-14T06:40:00Z+0000,100.9
2025-05-14T06:50:00Z+0000,101.0
2025-05-14T07:00:00Z+0000,100.9
2025-05-14T07:10:00Z+0000,101.0
2025-05-14T07:20:00Z+0000,100.5
2025-05-14T07:30:00Z+0000,96.6
2025-05-14T07:40:00Z+0000,91.5
2025-05-14T07:50:00Z+0000,93.8
2025-05-14T08:00:00Z+0000,92.8
2025-05-14T08:10:00Z+0000,90.4
2025-05-14T08:20:00Z+0000,89.7
2025-05-14T08:30:00Z+0000,90.4
2025-05-14T08:40:00Z+0000,94.7
2025-05-14T08:50:00Z+0000,93.9
2025-05-14T09:00:00Z+0000,87.9
2025-05-14T09:10:00Z+0000,87.6
2025-05-14T09:20:00Z+0000,87.5
2025-05-14T09:30:00Z+0000,87.0
2025-05-14T09:40:00Z+0000,85.3
2025-05-14T09:50:00Z+0000,86.4
2025-05-14T10:00:00Z+0000,84.5
2025-05-14T10:10:00Z+0000,85.9
2025-05-14T10:20:00Z+0000,83.6
2025-05-14T10:30:00Z+0000,81.7
2025-05-14T10:40:00Z+0000,82.1
2025-05-14T10:50:00Z+0000,80.7
2025-05-14T11:00:00Z+0000,77.3
2025-05-14T11:10:00Z+0000,75.1
2025-05-14T11:20:00Z+0000,73.8
2025-05-14T11:30:00Z+0000,74.0
2025-05-14T11:40:00Z+0000,71.4
2025-05-14T11:50:00Z+0000,73.1
2025-05-14T12:00:00Z+0000,74.1
2025-05-14T12:10:00Z+0000,74.7
2025-05-14T12:20:00Z+0000,73.5
2025-05-14T12:30:00Z+0000,73.1
2025-05-14T12:40:00Z+0000,70.9
2025-05-14T12:50:00Z+0000,72.2
2025-05-14T13:00:00Z+0000,72.9
