datetime,values
2025-05-13T22:00:00Z+0000,84.3
2025-05-13T22:10:00Z+0000,83.1
2025-05-13T22:20:00Z+0000,83.3
2025-05-13T22:30:00Z+0000,85.9
2025-05-13T22:40:00Z+0000,88.8
2025-05-13T22:50:00Z+0000,91.9
2025-05-13T23:00:00Z+0000,93.0
2025-05-13T23:10:00Z+0000,89.8
2025-05-13T23:20:00Z+0000,90.5
2025-05-13T23:30:00Z+0000,86.9
2025-05-13T23:40:00Z+0000,87.3
2025-05-13T23:50:00Z+0000,85.1
2025-05-14T00:00:00Z+0000,86.9
2025-05-14T00:10:00Z+0000,84.7
2025-05-14T00:20:00Z+0000,88.0
2025-05-14T00:30:00Z+0000,86.7
2025-05-14T00:40:00Z+0000,89.3
2025-05-14T00:50:00Z+0000,92.1
2025-05-14T01:00:00Z+0000,92.0
2025-05-14T01:10:00Z+0000,91.6
2025-05-14T01:20:00Z+0000,93.2
2025-05-14T01:30:00Z+0000,93.5
2025-05-14T01:40:00Z+0000,93.8
2025-05-14T01:50:00Z+0000,95.6
2025-05-14T02:00:00Z+0000,95.6
2025-05-14T02:10:00Z+0000,96.7
2025-05-14T02:20:00Z+0000,96.7
2025-05-14T02:30:00Z+0000,96.8
2025-05-14T02:40:00Z+0000,96.2
2025-05-14T02:50:00Z+0000,96.3
2025-05-14T03:00:00Z+0000,95.7
2025-05-14T03:10:00Z+0000,96.7
2025-05-14T03:20:00Z+0000,95.5
2025-05-14T03:30:00Z+0000,95.5
2025-05-14T03:40:00Z+0000,95.9
2025-05-14T03:50:00Z+0000,94.4
2025-05-14T04:00:00Z+0000,95.9
2025-05-14T04:10:00Z+0000,95.7
2025-05-14T04:20:00Z+0000,92.0
2025-05-14T04:30:00Z+0000,95.2
2025-05-14T04:40:00Z+0000,97.0
2025-05-14T04:50:00Z+0000,94.5
2025-05-14T05:00:00Z+0000,95.0
2025-05-14T05:10:00Z+0000,95.5
2025-05-14T05:20:00Z+0000,95.5
2025-05-14T05:30:00Z+0000,94.6
2025-05-14T05:40:00Z+0000,94.6
2025-05-14T05:50:00Z+0000,96.2
2025-05-14T06:00:00Z+0000,94.5
2025-05-14T06:10:00Z+0000,94.0
2025-05-14T06:20:00Z+0000,93.4
2025-05-14T06:30:00Z+0000,91.6
2025-05-14T06:40:00Z+0000,86.7
2025-05-14T06:50:00Z+0000,85.4
2025-05-14T07:00:00Z+0000,85.8
2025-05-14T07:10:00Z+0000,84.1
2025-05-14T07:20:00Z+0000,81.1
2025-05-14T07:30:00Z+0000,80.9
2025-05-14T07:40:00Z+0000,79.2
2025-05-14T07:50:00Z+0000,75.3
2025-05-14T08:00:00Z+0000,76.3
2025-05-14T08:10:00Z+0000,78.6
2025-05-14T08:20:00Z+0000,79.7
2025-05-14T08:30:00Z+0000,71.8
2025-05-14T08:40:00Z+0000,73.0
2025-05-14T08:50:00Z+0000,68.6
2025-05-14T09:00:00Z+0000,59.9
2025-05-14T09:10:00Z+0000,56.1
2025-05-14T09:20:00Z+0000,53.0
2025-05-14T09:30:00Z+0000,53.3
